Назва,всього
Одеська область,342926
м.Одеса,206857
м.Балта,2067
м.Білгород-Дністровський,9165
м.Біляївка,2542
м.Ізмаїл,12281
м.Чорноморськ,19154
м.Подільськ,2497
м.Теплодар,804
м.Южне,7898
Ананьївський,1412
Арцизький,3293
Балтський,1134
Білгород-Дністровський,3768
Біляївський,6911
Березівський,1765
Болградський,3945
Великомихайлівський,1806
Іванівський,2068
Ізмаїльський,2778
Кілійський,3699
Кодимський,1404
Лиманський,11321
Подільський,1290
Окнянський,1401
Любашівський,1500
Миколаївський,899
Овідіопольський,12407
Роздільнянський,2607
Ренійський,2256
Савранський,1383
Саратський,3712
Тарутинський,2681
Татарбунарський,2082
Захарівський,714
Ширяївський,1425
