Назва,всього
Одеська область,464772
м.Одеса,273720
м.Балта,3166
м.Білгород-Дністровський,13123
м.Біляївка,3089
м.Ізмаїл,16246
м.Чорноморськ,23059
м.Подільськ,4149
м.Теплодар,1359
м.Южне,9242
Ананьївський,2218
Арцизький,5057
Балтський,1707
Білгород-Дністровський,5474
Біляївський,10985
Березівський,2865
Болградський,6513
Великомихайлівський,2607
Іванівський,2997
Ізмаїльський,4308
Кілійський,5504
Кодимський,2299
Лиманський,14556
Подільський,1764
Окнянський,1989
Любашівський,2302
Миколаївський,1380
Овідіопольський,17659
Роздільнянський,4423
Ренійський,3282
Савранський,1982
Саратський,5034
Тарутинський,3842
Татарбунарський,3444
Захарівський,1154
Ширяївський,2274
